a_cov_blpr,a_cov_hdi,a_cov_dlasso,a_cov_silm,a_cov_rr,sc_a_cov_rr,a_len_blpr,a_len_hdi,a_len_dlasso,a_len_silm,a_len_rr,sc_a_len_rr,n_cov_blpr,n_cov_hdi,n_cov_dlasso,n_cov_silm,n_cov_rr,sc_n_cov_rr,n_len_blpr,n_len_hdi,n_len_dlasso,n_len_silm,n_len_rr,sc_n_len_rr,s,x,b,e,g,n_draws,n_solve
0.53,0.89,0.924,0.964,0.912,0.922,0.802329551,1.314666932,1.285389863,1.535752939,1.394515277,1.477756047,0.872,0.964,0.989333333,0.978666667,0.964,0.974666667,0.261556246,1.188352012,1.286204929,1.533199555,1.332650483,1.412241756,10,G1,D1,HMG,sign,1000,500
0.906,0.9,0.914,0.966,0.922,0.94,0.448651618,0.459788589,0.555881497,0.771841377,0.627290871,0.678154813,0.914666667,0.942666667,0.994666667,0.978666667,0.953333333,0.969333333,0.098250284,0.328673797,0.555336244,0.770083628,0.629321012,0.680222754,10,G1,D1,N1,perm,1000,500
0.898,0.906,0.914,0.964,0.916,0.946,0.444305477,0.460996999,0.555881497,0.771892594,0.656287602,0.709423606,0.906666667,0.946666667,0.994666667,0.977333333,0.953333333,0.977333333,0.095072496,0.315716802,0.555336244,0.769369916,0.616574681,0.666477988,10,G1,D1,N1,sign,1000,500
0.63,0.86,0.908,0.954,0.916,0.93,0.838876447,1.056344877,1.197576389,1.448514102,1.263148779,1.343429141,0.904,0.964,0.996,0.978666667,0.962666667,0.976,0.241701195,1.02346772,1.197951121,1.444611552,1.266574779,1.347123039,10,G1,D1,N2,perm,1000,500
0.664,0.87,0.908,0.958,0.908,0.928,0.852765862,1.142162545,1.197576389,1.445660436,1.304852915,1.387660503,0.894666667,0.969333333,0.996,0.98,0.958666667,0.978666667,0.239742173,1.033411478,1.197951121,1.442851873,1.243691023,1.322639666,10,G1,D1,N2,sign,1000,500
0.936,0.95,0.948,0.888,0.892,0.922,0.433681974,0.446768251,0.735786271,0.967723645,0.59462346,0.643653095,0.918666667,0.953333333,0.996,0.898666667,0.950666667,0.968,0.093965396,0.324767084,0.737237119,0.9661029,0.594941796,0.644034116,10,N1,D1,G1,perm,1000,500
0.826,0.8,0.896,0.954,0.896,0.916,0.630206642,0.589697812,0.770276787,0.982200137,0.837737897,0.902722746,0.889333333,0.948,0.985333333,0.969333333,0.953333333,0.969333333,0.136885984,0.471812259,0.771575584,0.985030491,0.842445835,0.907776396,10,N1,D1,HG,perm,1000,500
0.832,0.826,0.896,0.956,0.898,0.918,0.62899905,0.58117835,0.770276787,0.982702802,0.853259068,0.919497685,0.892,0.941333333,0.985333333,0.969333333,0.950666667,0.968,0.137480211,0.470291516,0.771575584,0.986761685,0.837704505,0.902660229,10,N1,D1,HG,sign,1000,500
0.494,0.832,0.9,0.942,0.904,0.918,0.791573982,1.137771983,1.248808149,1.492682035,1.29457814,1.373812309,0.905333333,0.973333333,0.992,0.977333333,0.966666667,0.972,0.251495795,1.097480038,1.251547568,1.49596139,1.295349164,1.37487236,10,N1,D1,HMG,perm,1000,500
0.53,0.836,0.9,0.94,0.9,0.912,0.787626976,1.154933083,1.248808149,1.491888343,1.297234725,1.376612821,0.890666667,0.965333333,0.992,0.976,0.961333333,0.970666667,0.244443842,1.097529685,1.251547568,1.495025955,1.284432665,1.363380892,10,N1,D1,HMG,sign,1000,500
